"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Phillip Medical and Dental Centre","33 Colbee Court","Phillip","12/10/2021 - Tuesday","7:00am","7:50am","Casual",-35.351947,149.0897732,"",FALSE
"New","Narrabundah Early Childhood School (Grass Parrot Room and Kangaroo Room only)","23-27 Kootara Crescent","Narrabundah","12/10/2021 - Tuesday","9:00am","3:30pm","Close",-35.3287917,149.1508882,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Narrabundah Early Childhood School (Grass Parrot Room and Kangaroo Room only)","23-27 Kootara Crescent","Narrabundah","11/10/2021 - Monday","9:00am","3:30pm","Close",-35.3287917,149.1508382,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Friendly Grocer Hughes","16 Hughes Place","Hughes","10/10/2021 - Sunday","8:00am","12:30pm","Casual",-35.3335607,149.0937384,"",FALSE
"","Bus Route 4 Transport Canberra Code BUS646","Woden Interchange to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","1:15pm","1:28pm","Casual",-35.3444429,149.0873192,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Bus Route 4 Transport Canberra Code BUS688","Tuggeranong Interchange to Woden Interchange","Public Transport","09/10/2021 - Saturday","11:59am","12:17pm","Casual",-35.414955,149.06613,"",FALSE
"","Bus Route 74 Transport Canberra Code BUS604","Richardson to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","11:34am","11:47am","Casual",-35.414225,149.065303,"",FALSE
"","Bus Route 75 Transport Canberra Code BUS562","Tuggeranong Interchange to Richardson","Public Transport","09/10/2021 - Saturday","3:34pm","3:45pm","Casual",-35.414955,149.066105,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","09/10/2021 - Saturday","1:30pm","2:20pm","Casual",-35.2802271,149.1333059,"",FALSE
"","Friendly Grocer Narrabundah","6 Iluka Street","Narrabundah","09/10/2021 - Saturday","8:00am","5:30pm","Casual",-35.3326795,149.1540529,"",FALSE
"","Lazzari Bros' Espresso","3 Carleton Street","Kambah","09/10/2021 - Saturday","10:00am","4:30pm","Casual",-35.383194,149.050146,"",FALSE
"","Woolworths Gungahlin","Marketplace Gungahlin, 30 and 33 Hibberson Street","Gungahlin","09/10/2021 - Saturday","1:50pm","3:05pm","Casual",-35.1846599,149.1349762,"",FALSE
"","Pixie and Bear","1/15 Kingsland Parade","Casey","09/10/2021 - Saturday","9:30am","11:00am","Casual",-35.1743655,149.0953865,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","09/10/2021 - Saturday","8:50am","7:30pm","Casual",-35.4168087,149.0679945,"",FALSE
"","Woolworths Dickson","1 Dickson Place","Dickson","09/10/2021 - Saturday","7:50am","8:40am","Casual",-35.249974,149.1386501,"",FALSE
