"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact"
"","Gerald Slaven Ford Phillip","29 Botany Street","Phillip","23/08/2021 - Monday","8:30am","9:30am","Casual"
"","Coles Chisholm","42 Halley Street","Chisholm","22/08/2021 - Sunday","12:20pm","1:10pm","Monitor"
"New","IGA Denman Prospect","20/3 Felstead Vista","Denman Prospect","22/08/2021 - Sunday","12:40pm","2:00pm","Monitor"
"","Aldi Chisholm","36 Benham Street","Chisholm","21/08/2021 - Saturday","5:10pm","5:50pm","Monitor"
"","Capital Chemist Charnwood","41 Charnwood Place","Charnwood","21/08/2021 - Saturday","12:20pm","1:10pm","Monitor"
"","Crust Pizza Charnwood","41 Charnwood Place","Charnwood","21/08/2021 - Saturday","12:40pm","1:30pm","Monitor"
"","Erindale Pharmacy","2 Denigan Street","Wanniassa","21/08/2021 - Saturday","2:10pm","2:45pm","Monitor"
"New","Light Rail- R1 Transport Canberra Code LRV010","Ipima Street to Nullarbor Avenue","Public Transport","21/08/2021 - Saturday","2:41pm","3:03pm","Casual"
"New","Light Rail- R1 Transport Canberra Code LRV010","Alinga Street to Ipima Street","Public Transport","21/08/2021 - Saturday","4:38pm","4:48pm","Casual"
"New","Light Rail- R1 Transport Canberra Code LRV011","Nullarbor Avenue to Alinga Street","Public Transport","21/08/2021 - Saturday","3:35pm","3:54pm","Casual"
"","Woolworths Wanniassa","Erindale Shopping Centre, 50-68 Comrie Street","Wanniassa","21/08/2021 - Saturday","2:10pm","3:00pm","Monitor"
"New","Woolworths Weston Creek","Corner Brierly and Mahony Court","Weston","21/08/2021 - Saturday","7:30pm","9:00pm","Monitor"
"New","Mawson Halal Market","2/79 Mawson Place","Mawson","21/08/2021 - Saturday","3:30pm","4:30pm","Casual"
"","Bright Bees Childcare","40 O'Hanlon Place","Nicholls","20/08/2021 - Friday","8:00am","5:00pm","Close"
"","Crust Pizza Wanniassa","Shop 9B/20 Gartside Steet","Wanniassa","20/08/2021 - Friday","6:35pm","7:00pm","Monitor"
"","Guzman y Gomez Canberra Centre","Shop EG07-07B Bunda Street","Canberra City","20/08/2021 - Friday","3:30pm","11:00pm","Casual"
"","Kingsley's Chicken Weston","2 Liardet Street","Weston","20/08/2021 - Friday","6:15pm","7:30pm","Casual"
"","NewsXpress Wanniassa","Erindale Shopping Centre, 2 Denigan Street","Wanniassa","20/08/2021 - Friday","12:30pm","1:20pm","Monitor"
"","Warrumbul Lodge","4 Hutton Street","Canberra City","20/08/2021 - Friday","12:00am","11:59pm","Casual"
"","Wokitup Gungahlin","4/46 Hibberson Street","Gungahlin","20/08/2021 - Friday","6:05pm","6:55pm","Monitor"
"","Woolworths Metro","1/6 Grazier Lane,","Belconnen","20/08/2021 - Friday","11:30am","12:30pm","Monitor"
"","Woolworths Metro","1/6 Grazier Lane","Belconnen","20/08/2021 - Friday","11:30am","12:30pm","Monitor"
"","Woolworths Wanniassa","Erindale Shopping Centre, 50-68 Comrie Street","Wanniassa","20/08/2021 - Friday","12:10pm","1:00pm","Monitor"
"","Woolworths Wanniassa","Erindale Shopping Centre, 50-68 Comrie Street","Wanniassa","20/08/2021 - Friday","12:05pm","1:00pm","Monitor"
"","Bright Bees Childcare","40 O'Hanlon Place","Nicholls","19/08/2021 - Thursday","8:00am","5:00pm","Close"
"","Chemist Warehouse Gungahlin","30 Hibberson Street","Gungahlin","19/08/2021 - Thursday","12:40pm","1:25pm","Monitor"
"","Chemist Warehouse Belconnen Markets","2 Ibbott Lane","Belconnen","19/08/2021 - Thursday","5:50pm","6:40pm","Casual"
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","19/08/2021 - Thursday","7:50pm","8:45pm","Casual"
"","Condamine Court","40-48 Forbes Street","Turner","19/08/2021 - Thursday","12:00am","11:59pm","Close"
"","Da Bronx","2/26 Francis Forde Boulevard","Forde","19/08/2021 - Thursday","5:50pm","6:40pm","Monitor"
"","Guzman y Gomez Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","19/08/2021 - Thursday","2:45pm","11:00pm","Casual"
"","Warrumbul Lodge","4 Hutton Street","Canberra City","19/08/2021 - Thursday","12:00am","11:59pm","Casual"
"","BP Kingston","77 Canberra Avenue","Kingston","19/08/2021 - Thursday","4:30pm","6:00pm","Monitor"
"","Woolworths Weston Creek","Corner Brierly and Mahony Court","Weston Creek","19/08/2021 - Thursday","4:30pm","6:30pm","Monitor"
"","85 Degrees","Canberra Centre, 148 Bunda Street","Canberra City","18/08/2021 - Wednesday","1:00pm","2:00pm","Monitor"
"","85 Degrees","Canberra Centre, 148 Bunda Street","Canberra City","18/08/2021 - Wednesday","4:00pm","4:30pm","Monitor"
"","Bright Bees Childcare","40 O'Hanlon Place","Nicholls","18/08/2021 - Wednesday","8:00am","5:00pm","Close"
"","Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","18/08/2021 - Wednesday","1:00pm","5:00pm","Monitor"
"New","Coles Manuka","Franklin Street and Flinders Way","Griffith","18/08/2021 - Wednesday","3:00pm","5:30pm","Monitor"
"","Condamine Court","40-48 Forbes Street","Turner","18/08/2021 - Wednesday","12:00am","11:59pm","Close"
"New","Crust Pizza Weston","2-4 Liardet Street","Weston","18/08/2021 - Wednesday","6:30pm","8:30pm","Monitor"
"","Erindale Pharmacy","2 Denigan Street","Wanniassa","18/08/2021 - Wednesday","11:00am","11:30am","Monitor"
"","Guzman y Gomez Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","18/08/2021 - Wednesday","2:45pm","10:00pm","Casual"
